icon,precipIntensity,apparentTemperature,cloudCover,ozone,visibility,humidity,windBearing,precipType,pressure,windGust,temperature,time,precipAccumulation,windSpeed,uvIndex,precipProbability,summary,dewPoint,city,local_time,demand,region,hour,day_of_week,day_name,month,month_name,year,season,time_of_day,week,anomaly_score,is_anomaly
cloudy,0.0008,25.5,0.99,261.4,10.0,0.72,343.0,rain,1033.0,20.75,34.92,2018-11-13 06:00:00,0.0087,14.49,0.0,0.02,Overcast,26.69,dallas,2018-11-13 06:00:00,6889.741016949152,NCEN,6,1,Tuesday,11,November,2018,Fall,Morning,46,1,False
clear-night,0.0,26.46,0.11,277.7,10.0,0.42,344.0,rain,1029.9,10.43,32.51,2019-03-05 01:00:00,0.0087,6.49,0.0,0.0,Clear,11.81,dallas,2019-03-05 01:00:00,7126.32712168837,NCEN,1,1,Tuesday,3,March,2019,Spring,Night,10,1,False
partly-cloudy-day,0.0059,101.24,0.34,311.5,10.0,0.63,169.0,rain,1013.2,16.79,90.0,2019-07-04 19:00:00,0.0087,13.26,9.0,0.05,Humid and Partly Cloudy,75.56,dallas,2019-07-04 19:00:00,19181.0,NCEN,19,3,Thursday,7,July,2019,Summer,Evening,27,-1,True
cloudy,0.0053,75.04,0.98,252.0,9.845,0.68,175.0,rain,999.4,17.85,74.66,2019-11-26 20:00:00,0.0087,11.06,2.0,0.09,Overcast,63.55,dallas,2019-11-26 20:00:00,11979.0,NCEN,20,1,Tuesday,11,November,2019,Fall,Evening,48,1,False
cloudy,0.0016,45.55,1.0,229.6,10.0,0.89,57.0,rain,1022.9,8.46,47.65,2019-11-29 08:00:00,0.0087,4.85,0.0,0.1,Overcast,44.59,dallas,2019-11-29 08:00:00,11432.0,NCEN,8,4,Friday,11,November,2019,Fall,Morning,48,1,False
partly-cloudy-night,0.0013,64.25,0.69,272.5,10.0,0.35,177.0,rain,1012.1,26.6,64.25,2020-02-03 04:00:00,0.0087,11.15,0.0,0.01,Mostly Cloudy,36.29,dallas,2020-02-03 04:00:00,8486.0,NCEN,4,0,Monday,2,February,2020,Winter,Night,6,1,False
clear-night,0.0,60.68,0.25,285.4,10.0,0.48,106.0,rain,1020.8,5.02,60.68,2019-03-22 05:00:00,0.0087,3.01,0.0,0.0,Clear,40.98,dallas,2019-03-22 05:00:00,6608.794767704105,NCEN,5,4,Friday,3,March,2019,Spring,Morning,12,1,False
clear-night,0.0,86.34,0.02,296.7,9.997,0.57,122.0,rain,1013.5,6.72,83.66,2018-07-04 04:00:00,0.0087,6.72,0.0,0.0,Clear,67.03,dallas,2018-07-04 04:00:00,6550.273116824537,NCEN,4,2,Wednesday,7,July,2018,Summer,Night,27,1,False
clear-day,0.0,56.11,0.0,316.4,10.0,0.75,275.0,rain,1020.0,1.99,56.11,2020-04-30 12:00:00,0.0087,1.7,0.0,0.0,Clear,48.33,dallas,2020-04-30 12:00:00,11106.0,NCEN,12,3,Thursday,4,April,2020,Spring,Afternoon,18,1,False
clear-night,0.0,70.72,0.0,309.7,10.0,0.74,173.0,rain,1015.3,9.41,70.48,2019-05-16 07:00:00,0.0087,5.18,0.0,0.0,Clear,61.9,dallas,2019-05-16 07:00:00,7331.344158773117,NCEN,7,3,Thursday,5,May,2019,Spring,Morning,20,1,False
clear-day,0.0,78.85,0.18,266.8,10.0,0.37,200.0,rain,1005.8,15.59,78.85,2019-02-14 23:00:00,0.0087,8.71,0.0,0.0,Clear,50.11,dallas,2019-02-14 23:00:00,8112.855886332883,NCEN,23,3,Thursday,2,February,2019,Winter,Night,7,1,False
clear-day,0.0015,73.16,0.07,313.3,10.0,0.35,244.0,rain,1015.1,17.8,73.16,2018-11-02 20:00:00,0.0087,9.17,3.0,0.01,Clear,44.07,dallas,2018-11-02 20:00:00,9185.603024148048,NCEN,20,4,Friday,11,November,2018,Fall,Evening,44,1,False
partly-cloudy-day,0.001,85.13,0.44,286.6,10.0,0.78,159.0,rain,1017.4,18.11,80.56,2019-05-24 15:00:00,0.0087,11.39,4.0,0.02,Humid and Partly Cloudy,73.08,dallas,2019-05-24 15:00:00,8603.908084914183,NCEN,15,4,Friday,5,May,2019,Spring,Afternoon,21,1,False
cloudy,0.0013,55.32,0.94,235.4,10.0,0.91,181.0,rain,1018.8,29.51,55.32,2019-01-17 03:00:00,0.0087,12.79,0.0,0.02,Overcast,52.59,dallas,2019-01-17 03:00:00,6636.022312373225,NCEN,3,3,Thursday,1,January,2019,Winter,Night,3,1,False
cloudy,0.0024,55.75,0.96,294.6,10.0,0.92,12.0,rain,1012.9,7.33,55.75,2020-03-31 05:00:00,0.0087,3.56,0.0,0.09,Overcast,53.41,dallas,2020-03-31 05:00:00,8332.0,NCEN,5,1,Tuesday,3,March,2020,Spring,Morning,14,1,False
clear-day,0.0,98.51,0.27,296.7,9.997,0.29,155.0,rain,1015.1,12.07,98.12,2018-08-06 00:00:00,0.0087,12.07,1.0,0.0,Clear,60.12,dallas,2018-08-06 00:00:00,7555.287099684258,NCEN,0,0,Monday,8,August,2018,Summer,Night,32,1,False
partly-cloudy-day,0.0,60.37,0.85,262.9,10.0,0.54,26.0,rain,1018.5,13.5,60.37,2019-03-10 23:00:00,0.0087,9.8,1.0,0.0,Mostly Cloudy,43.46,dallas,2019-03-10 23:00:00,8112.855886332883,NCEN,23,6,Sunday,3,March,2019,Spring,Night,10,1,False
clear-night,0.0,65.53,0.06,304.6,10.0,0.85,186.0,rain,1012.7,3.69,65.31,2020-05-18 08:00:00,0.0087,2.33,0.0,0.0,Clear,60.67,dallas,2020-05-18 08:00:00,9851.0,NCEN,8,0,Monday,5,May,2020,Spring,Morning,21,1,False
clear-night,0.0,86.79,0.0,296.7,9.997,0.64,186.0,rain,1015.8,7.05,83.0,2018-07-14 08:00:00,0.0087,7.05,0.0,0.0,Clear,69.45,dallas,2018-07-14 08:00:00,7613.927153811457,NCEN,8,5,Saturday,7,July,2018,Summer,Morning,28,1,False
clear-night,0.0,67.64,0.0,274.2,10.0,0.34,212.0,rain,1000.6,9.74,67.64,2018-12-02 00:00:00,0.0087,5.13,0.0,0.0,Clear,38.63,dallas,2018-12-02 00:00:00,7555.287099684258,NCEN,0,6,Sunday,12,December,2018,Winter,Night,48,1,False
partly-cloudy-day,0.0059,58.17,0.33,305.0,10.0,0.77,159.0,rain,1012.8,20.66,58.17,2020-04-11 13:00:00,0.0087,8.91,0.0,0.03,Partly Cloudy,50.91,dallas,2020-04-11 13:00:00,10374.0,NCEN,13,5,Saturday,4,April,2020,Spring,Afternoon,15,1,False
cloudy,0.0017,67.65,0.94,261.0,10.0,0.91,142.0,rain,1010.4,32.57,66.99,2019-03-13 02:00:00,0.0087,17.16,0.0,0.03,Overcast,64.16,dallas,2019-03-13 02:00:00,6829.236384180791,NCEN,2,2,Wednesday,3,March,2019,Spring,Night,11,1,False
partly-cloudy-night,0.0076,62.93,0.79,302.9,10.0,0.9,215.0,rain,1017.6,28.59,62.74,2020-01-18 07:00:00,0.0087,10.05,0.0,0.17,Mostly Cloudy,59.66,dallas,2020-01-18 07:00:00,9775.0,NCEN,7,5,Saturday,1,January,2020,Winter,Morning,3,1,False
rain,0.0292,42.25,1.0,243.5,7.284,0.92,57.0,rain,1018.2,16.16,46.61,2018-11-12 07:00:00,0.0087,8.91,0.0,0.87,Light Rain,44.37,dallas,2018-11-12 07:00:00,7331.344158773117,NCEN,7,0,Monday,11,November,2018,Fall,Morning,46,1,False
partly-cloudy-day,0.0008,54.51,0.38,326.0,10.0,0.62,331.0,rain,1016.8,16.35,54.51,2020-01-23 20:00:00,0.0087,9.72,3.0,0.03,Partly Cloudy,41.94,dallas,2020-01-23 20:00:00,13315.0,NCEN,20,3,Thursday,1,January,2020,Winter,Evening,4,1,False
clear-day,0.0,112.99,0.04,301.2,10.0,0.57,149.0,rain,1014.5,7.23,95.95,2019-07-10 19:00:00,0.0087,7.23,11.0,0.0,Humid,78.1,dallas,2019-07-10 19:00:00,21086.0,NCEN,19,2,Wednesday,7,July,2019,Summer,Evening,28,-1,True
cloudy,0.0009,53.03,0.99,281.8,10.0,0.93,107.0,rain,1020.6,13.52,53.03,2020-03-16 13:00:00,0.0087,7.6,0.0,0.02,Overcast,50.94,dallas,2020-03-16 13:00:00,11831.0,NCEN,13,0,Monday,3,March,2020,Spring,Afternoon,12,1,False
clear-night,0.0,50.68,0.0,284.0,10.0,0.69,260.0,rain,1013.5,5.74,50.68,2019-11-19 09:00:00,0.0087,3.26,0.0,0.0,Clear,40.78,dallas,2019-11-19 09:00:00,12238.0,NCEN,9,1,Tuesday,11,November,2019,Fall,Morning,47,1,False
partly-cloudy-night,0.0163,73.31,0.48,267.1,9.858,0.89,111.0,rain,1015.9,12.28,72.2,2019-10-05 12:00:00,0.0087,4.76,0.0,0.04,Partly Cloudy,68.87,dallas,2019-10-05 12:00:00,15858.0,NCEN,12,5,Saturday,10,October,2019,Fall,Afternoon,40,1,False
clear-night,0.0,46.28,0.07,294.5,10.0,0.43,7.0,rain,1030.2,10.62,48.51,2019-03-16 05:00:00,0.0087,5.3,0.0,0.0,Clear,27.16,dallas,2019-03-16 05:00:00,6608.794767704105,NCEN,5,5,Saturday,3,March,2019,Spring,Morning,11,1,False
clear-day,0.0,56.82,0.15,284.1,10.0,0.34,163.0,rain,1023.2,11.26,56.82,2019-11-01 23:00:00,0.0087,7.17,0.0,0.0,Clear,28.73,dallas,2019-11-01 23:00:00,11847.0,NCEN,23,4,Friday,11,November,2019,Fall,Night,44,1,False
clear-day,0.0008,37.87,0.0,298.3,10.0,0.76,335.0,rain,1031.4,4.26,39.57,2019-11-15 14:00:00,0.0087,3.0,0.0,0.02,Clear,32.59,dallas,2019-11-15 14:00:00,11734.0,NCEN,14,4,Friday,11,November,2019,Fall,Afternoon,46,1,False
partly-cloudy-day,0.0,69.66,0.65,311.7,10.0,0.65,69.0,rain,1021.9,10.8,69.66,2019-06-11 13:00:00,0.0087,3.81,1.0,0.0,Mostly Cloudy,57.39,dallas,2019-06-11 13:00:00,13417.0,NCEN,13,1,Tuesday,6,June,2019,Summer,Afternoon,24,1,False
clear-day,0.0,98.11,0.01,285.4,10.0,0.35,108.0,rain,1015.0,6.73,96.11,2019-09-06 00:00:00,0.0087,6.12,0.0,0.0,Clear,63.64,dallas,2019-09-06 00:00:00,15467.0,NCEN,0,4,Friday,9,September,2019,Fall,Night,36,1,False
clear-day,0.0,43.45,0.01,266.4,10.0,0.65,148.0,rain,1025.1,20.09,47.78,2018-12-24 16:00:00,0.0087,9.53,2.0,0.0,Clear,36.65,dallas,2018-12-24 16:00:00,8780.507807196198,NCEN,16,0,Monday,12,December,2018,Winter,Afternoon,52,1,False
clear-night,0.0,91.61,0.0,296.7,9.997,0.49,145.0,rain,1011.7,6.65,88.62,2018-08-25 04:00:00,0.0087,6.65,0.0,0.0,Clear,66.85,dallas,2018-08-25 04:00:00,6550.273116824537,NCEN,4,5,Saturday,8,August,2018,Summer,Night,34,1,False
rain,0.0824,67.31,0.8,268.4,6.33,0.98,112.0,rain,1007.5,6.8,66.36,2018-10-09 19:00:00,0.0087,6.22,5.0,0.76,Rain,65.84,dallas,2018-10-09 19:00:00,9286.493568043332,NCEN,19,1,Tuesday,10,October,2018,Fall,Evening,41,-1,True
cloudy,0.0017,78.11,0.94,296.7,8.803,0.8,106.0,rain,1014.2,8.18,76.95,2018-09-12 00:00:00,0.0087,8.18,0.0,0.14,Overcast,70.35,dallas,2018-09-12 00:00:00,7555.287099684258,NCEN,0,2,Wednesday,9,September,2018,Fall,Night,37,1,False
partly-cloudy-day,0.0,73.35,0.35,311.3,10.0,0.23,177.0,rain,1018.9,25.56,73.35,2020-02-29 21:00:00,0.0087,16.24,3.0,0.0,Partly Cloudy,33.21,dallas,2020-02-29 21:00:00,10783.0,NCEN,21,5,Saturday,2,February,2020,Winter,Night,9,1,False
clear-day,0.0011,61.92,0.0,309.4,10.0,0.45,308.0,rain,1024.4,15.52,61.92,2020-03-05 17:00:00,0.0087,6.92,5.0,0.01,Clear,40.39,dallas,2020-03-05 17:00:00,11018.0,NCEN,17,3,Thursday,3,March,2020,Spring,Evening,10,1,False
cloudy,0.0021,69.19,0.98,275.2,9.825,0.91,156.0,rain,1009.9,21.42,68.38,2019-04-17 12:00:00,0.0087,8.2,0.0,0.03,Overcast,65.63,dallas,2019-04-17 12:00:00,8148.729846014493,NCEN,12,2,Wednesday,4,April,2019,Spring,Afternoon,16,1,False
rain,0.0855,53.51,0.99,276.5,7.857,0.93,319.0,rain,1018.6,15.1,53.51,2019-10-25 06:00:00,0.0087,10.18,0.0,0.74,Rain,51.49,dallas,2019-10-25 06:00:00,9425.0,NCEN,6,4,Friday,10,October,2019,Fall,Morning,43,-1,True
partly-cloudy-day,0.0193,94.62,0.38,299.3,10.0,0.77,164.0,rain,1006.0,22.16,84.69,2019-05-29 18:00:00,0.0087,11.51,9.0,0.22,Humid and Partly Cloudy,76.63,dallas,2019-05-29 18:00:00,14949.0,NCEN,18,2,Wednesday,5,May,2019,Spring,Evening,22,-1,True
clear-night,0.0,40.79,0.08,298.0,10.0,0.94,148.0,rain,1014.7,11.73,44.06,2019-12-13 09:00:00,0.0087,5.69,0.0,0.0,Clear,42.4,dallas,2019-12-13 09:00:00,14048.0,NCEN,9,4,Friday,12,December,2019,Winter,Morning,50,1,False
clear-day,0.0008,98.33,0.09,279.8,10.0,0.4,162.0,rain,1015.8,10.73,94.56,2019-09-12 21:00:00,0.0087,9.09,5.0,0.01,Clear,66.72,dallas,2019-09-12 21:00:00,19648.0,NCEN,21,3,Thursday,9,September,2019,Fall,Night,37,1,False
clear-day,0.0014,83.22,0.1,333.0,10.0,0.39,128.0,rain,1016.2,9.2,83.22,2019-06-14 01:00:00,0.0087,7.01,0.0,0.01,Clear,55.8,dallas,2019-06-14 01:00:00,11670.0,NCEN,1,4,Friday,6,June,2019,Summer,Night,24,1,False
clear-day,0.0,110.66,0.05,301.8,10.0,0.52,165.0,rain,1011.2,13.39,96.5,2019-07-09 22:00:00,0.0087,12.21,5.0,0.0,Humid,76.11,dallas,2019-07-09 22:00:00,20246.0,NCEN,22,1,Tuesday,7,July,2019,Summer,Night,28,1,False
clear-night,0.0,37.99,0.0,291.8,10.0,0.57,324.0,rain,1024.9,16.38,42.77,2019-12-02 10:00:00,0.0087,7.94,0.0,0.0,Clear,28.48,dallas,2019-12-02 10:00:00,13973.0,NCEN,10,0,Monday,12,December,2019,Winter,Morning,49,1,False
partly-cloudy-day,0.001,40.83,0.64,258.8,10.0,0.75,0.0,rain,1028.4,21.13,46.71,2018-11-09 15:00:00,0.0087,13.51,1.0,0.02,Mostly Cloudy,39.32,dallas,2018-11-09 15:00:00,8603.908084914183,NCEN,15,4,Friday,11,November,2018,Fall,Afternoon,45,1,False
cloudy,0.0002,75.66,0.9,268.9,10.0,0.77,192.0,rain,1012.5,26.73,74.84,2018-10-30 17:00:00,0.0087,16.38,3.0,0.01,Overcast,67.22,dallas,2018-10-30 17:00:00,8990.480803974706,NCEN,17,1,Tuesday,10,October,2018,Fall,Evening,44,1,False
clear-day,0.0,109.3,0.12,299.0,10.0,0.4,165.0,rain,1009.2,10.42,100.07,2019-08-07 23:00:00,0.0087,9.93,2.0,0.0,Clear,71.31,dallas,2019-08-07 23:00:00,19600.0,NCEN,23,2,Wednesday,8,August,2019,Summer,Night,32,1,False
clear-day,0.0,98.65,0.24,292.6,10.0,0.44,188.0,rain,1014.1,9.14,93.58,2019-07-21 18:00:00,0.0087,8.44,10.0,0.0,Clear,68.64,dallas,2019-07-21 18:00:00,22283.0,NCEN,18,6,Sunday,7,July,2019,Summer,Evening,29,1,False
clear-day,0.0008,58.73,0.0,296.3,10.0,0.37,3.0,rain,1026.3,3.65,58.73,2019-11-15 23:00:00,0.0087,2.13,0.0,0.01,Clear,32.31,dallas,2019-11-15 23:00:00,12466.0,NCEN,23,4,Friday,11,November,2019,Fall,Night,46,1,False
clear-night,0.0016,72.03,0.0,316.4,10.0,0.63,165.0,rain,1013.6,24.93,72.03,2019-04-22 03:00:00,0.0087,12.08,0.0,0.01,Clear,58.78,dallas,2019-04-22 03:00:00,6636.022312373225,NCEN,3,0,Monday,4,April,2019,Spring,Night,17,1,False
partly-cloudy-day,0.0,69.44,0.55,276.3,10.0,0.33,3.0,rain,1020.2,9.17,69.44,2019-10-16 22:00:00,0.0087,7.23,1.0,0.0,Partly Cloudy,38.98,dallas,2019-10-16 22:00:00,10885.0,NCEN,22,2,Wednesday,10,October,2019,Fall,Night,42,1,False
partly-cloudy-day,0.0028,75.55,0.86,318.8,10.0,0.79,167.0,rain,1014.3,4.49,74.66,2019-06-17 16:00:00,0.0087,4.01,4.0,0.02,Mostly Cloudy,67.79,dallas,2019-06-17 16:00:00,17361.0,NCEN,16,0,Monday,6,June,2019,Summer,Afternoon,25,1,False
clear-day,0.0,65.55,0.0,274.6,10.0,0.19,116.0,rain,1019.4,3.4,65.55,2019-10-12 22:00:00,0.0087,3.35,1.0,0.0,Clear,22.52,dallas,2019-10-12 22:00:00,10175.0,NCEN,22,5,Saturday,10,October,2019,Fall,Night,41,1,False
clear-night,0.0009,57.27,0.03,295.2,10.0,0.73,125.0,rain,1012.6,13.99,57.27,2020-01-28 00:00:00,0.0087,6.96,0.0,0.02,Clear,48.67,dallas,2020-01-28 00:00:00,10450.0,NCEN,0,1,Tuesday,1,January,2020,Winter,Night,5,1,False
clear-day,0.0,82.66,0.31,326.2,10.0,0.49,200.0,rain,1015.6,7.83,82.02,2019-05-14 19:00:00,0.0087,6.61,8.0,0.0,Clear,61.07,dallas,2019-05-14 19:00:00,9286.493568043332,NCEN,19,1,Tuesday,5,May,2019,Spring,Evening,20,1,False
clear-night,0.0014,43.79,0.17,319.7,10.0,0.81,4.0,rain,1019.7,11.11,46.38,2020-04-18 10:00:00,0.0087,5.28,0.0,0.01,Clear,40.89,dallas,2020-04-18 10:00:00,10689.0,NCEN,10,5,Saturday,4,April,2020,Spring,Morning,16,1,False
cloudy,0.0251,67.54,0.94,334.2,9.369,0.89,174.0,rain,1006.4,16.89,66.98,2020-04-19 15:00:00,0.0087,8.85,2.0,0.18,Overcast,63.47,dallas,2020-04-19 15:00:00,10641.0,NCEN,15,6,Sunday,4,April,2020,Spring,Afternoon,16,1,False
cloudy,0.0,57.8,0.88,311.4,10.0,0.9,173.0,rain,1014.8,29.08,57.8,2020-04-17 10:00:00,0.0087,10.25,0.0,0.0,Overcast,54.89,dallas,2020-04-17 10:00:00,10475.0,NCEN,10,4,Friday,4,April,2020,Spring,Morning,16,1,False
partly-cloudy-night,0.0,65.94,0.75,252.6,10.0,0.75,170.0,rain,1012.2,19.55,65.94,2019-03-08 02:00:00,0.0087,8.72,0.0,0.0,Mostly Cloudy,57.74,dallas,2019-03-08 02:00:00,6829.236384180791,NCEN,2,4,Friday,3,March,2019,Spring,Night,10,1,False
cloudy,0.0018,53.71,1.0,278.1,10.0,0.88,152.0,rain,1023.2,9.58,53.71,2020-01-17 18:00:00,0.0087,7.07,3.0,0.18,Overcast,50.33,dallas,2020-01-17 18:00:00,13249.0,NCEN,18,4,Friday,1,January,2020,Winter,Evening,3,1,False
clear-night,0.0004,81.94,0.01,277.3,10.0,0.74,159.0,rain,1012.7,17.32,79.13,2019-10-06 07:00:00,0.0087,8.21,0.0,0.01,Clear,70.11,dallas,2019-10-06 07:00:00,11125.0,NCEN,7,6,Sunday,10,October,2019,Fall,Morning,40,1,False
partly-cloudy-night,0.0078,71.31,0.77,258.1,8.247,0.9,163.0,rain,1000.7,18.09,70.35,2018-12-01 01:00:00,0.0087,6.5,0.0,0.24,Mostly Cloudy,67.25,dallas,2018-12-01 01:00:00,7126.32712168837,NCEN,1,5,Saturday,12,December,2018,Winter,Night,48,1,False
clear-day,0.0,41.57,0.06,264.7,10.0,0.62,70.0,rain,1031.6,3.16,41.57,2018-12-05 16:00:00,0.0087,1.73,2.0,0.0,Clear,29.36,dallas,2018-12-05 16:00:00,8780.507807196198,NCEN,16,2,Wednesday,12,December,2018,Winter,Afternoon,49,1,False
cloudy,0.0007,58.91,0.9,311.4,10.0,0.73,7.0,rain,1017.0,21.48,58.91,2019-05-10 03:00:00,0.0087,11.44,0.0,0.01,Overcast,50.28,dallas,2019-05-10 03:00:00,6636.022312373225,NCEN,3,4,Friday,5,May,2019,Spring,Night,19,1,False
clear-night,0.0,54.28,0.11,289.5,10.0,0.54,122.0,rain,1026.7,4.38,54.28,2018-11-22 01:00:00,0.0087,3.52,0.0,0.0,Clear,38.19,dallas,2018-11-22 01:00:00,7126.32712168837,NCEN,1,3,Thursday,11,November,2018,Fall,Night,47,1,False
clear-night,0.0,60.0,0.04,282.5,10.0,0.52,222.0,rain,1000.9,22.6,60.0,2018-12-01 10:00:00,0.0087,8.91,0.0,0.0,Clear,42.27,dallas,2018-12-01 10:00:00,7891.554047942108,NCEN,10,5,Saturday,12,December,2018,Winter,Morning,48,1,False
clear-day,0.0008,77.85,0.18,283.9,10.0,0.55,48.0,rain,1015.4,3.62,77.79,2018-09-27 22:00:00,0.0087,2.39,2.0,0.01,Clear,60.27,dallas,2018-09-27 22:00:00,8658.014659449707,NCEN,22,3,Thursday,9,September,2018,Fall,Night,39,1,False
clear-day,0.0005,47.46,0.0,293.5,10.0,0.38,294.0,rain,1026.4,7.7,48.51,2019-12-31 17:00:00,0.0087,3.6,2.0,0.01,Clear,23.97,dallas,2019-12-31 17:00:00,11435.0,NCEN,17,1,Tuesday,12,December,2019,Winter,Evening,1,1,False
clear-day,0.0015,67.45,0.13,281.4,10.0,0.68,150.0,rain,1013.6,12.21,67.45,2020-03-25 15:00:00,0.0087,6.27,3.0,0.01,Clear,56.58,dallas,2020-03-25 15:00:00,13166.0,NCEN,15,2,Wednesday,3,March,2020,Spring,Afternoon,13,1,False
clear-night,0.0,62.48,0.12,326.7,10.0,0.85,147.0,rain,1014.6,3.73,62.48,2019-05-14 09:00:00,0.0087,2.84,0.0,0.0,Clear,57.9,dallas,2019-05-14 09:00:00,7759.096140825999,NCEN,9,1,Tuesday,5,May,2019,Spring,Morning,20,1,False
cloudy,0.009,45.24,1.0,279.7,10.0,0.63,345.0,rain,1017.0,12.42,49.15,2020-02-10 19:00:00,0.0087,9.28,3.0,0.13,Overcast,37.16,dallas,2020-02-10 19:00:00,15880.0,NCEN,19,0,Monday,2,February,2020,Winter,Evening,7,1,False
partly-cloudy-day,0.0227,67.74,0.72,321.8,10.0,0.59,124.0,rain,1012.1,9.46,67.74,2020-04-18 22:00:00,0.0087,6.92,3.0,0.12,Mostly Cloudy,53.04,dallas,2020-04-18 22:00:00,10015.0,NCEN,22,5,Saturday,4,April,2020,Spring,Night,16,1,False
partly-cloudy-day,0.0,85.12,0.55,296.3,10.0,0.6,156.0,rain,1012.8,16.8,82.47,2019-04-29 22:00:00,0.0087,12.39,3.0,0.0,Partly Cloudy,67.23,dallas,2019-04-29 22:00:00,8658.014659449707,NCEN,22,0,Monday,4,April,2019,Spring,Night,18,1,False
clear-night,0.0,78.07,0.23,274.4,10.0,0.84,168.0,rain,1009.5,27.99,76.73,2019-10-10 08:00:00,0.0087,14.44,0.0,0.0,Clear,71.69,dallas,2019-10-10 08:00:00,14224.0,NCEN,8,3,Thursday,10,October,2019,Fall,Morning,41,1,False
clear-night,0.0003,82.96,0.0,296.7,9.997,0.72,176.0,rain,1012.5,3.49,79.83,2018-09-19 08:00:00,0.0087,3.49,0.0,0.02,Clear,70.17,dallas,2018-09-19 08:00:00,7613.927153811457,NCEN,8,2,Wednesday,9,September,2018,Fall,Morning,38,1,False
cloudy,0.0012,44.02,0.99,227.4,10.0,0.76,84.0,rain,1022.8,13.81,48.02,2019-11-28 20:00:00,0.0087,8.79,2.0,0.05,Overcast,40.92,dallas,2019-11-28 20:00:00,11983.0,NCEN,20,3,Thursday,11,November,2019,Fall,Evening,48,1,False
rain,0.0083,50.41,1.0,273.4,6.267,0.93,114.0,rain,1024.7,18.14,50.41,2020-01-17 11:00:00,0.0087,8.89,0.0,0.36,Possible Drizzle,48.43,dallas,2020-01-17 11:00:00,13216.0,NCEN,11,4,Friday,1,January,2020,Winter,Morning,3,-1,True
clear-day,0.001,54.49,0.11,245.3,10.0,0.29,160.0,rain,1023.6,17.26,54.49,2019-03-07 00:00:00,0.0087,10.66,0.0,0.01,Clear,22.86,dallas,2019-03-07 00:00:00,7555.287099684258,NCEN,0,3,Thursday,3,March,2019,Spring,Night,10,1,False
partly-cloudy-day,0.0,96.02,0.7,296.7,9.997,0.51,110.0,rain,1012.2,9.24,90.48,2018-09-02 19:00:00,0.0087,9.24,6.0,0.0,Mostly Cloudy,69.93,dallas,2018-09-02 19:00:00,9286.493568043332,NCEN,19,6,Sunday,9,September,2018,Fall,Evening,35,1,False
partly-cloudy-day,0.0005,65.17,0.68,253.3,10.0,0.72,106.0,rain,1017.0,11.2,65.17,2018-10-12 15:00:00,0.0087,5.28,2.0,0.12,Mostly Cloudy,55.75,dallas,2018-10-12 15:00:00,8603.908084914183,NCEN,15,4,Friday,10,October,2018,Fall,Afternoon,41,1,False
partly-cloudy-night,0.0011,72.83,0.41,286.8,10.0,0.54,168.0,rain,1016.1,23.67,72.83,2019-03-29 01:00:00,0.0087,13.1,0.0,0.01,Partly Cloudy,55.11,dallas,2019-03-29 01:00:00,7126.32712168837,NCEN,1,4,Friday,3,March,2019,Spring,Night,13,1,False
partly-cloudy-night,0.0,41.44,0.64,289.5,10.0,0.73,101.0,rain,1025.1,2.18,41.44,2019-11-14 13:00:00,0.0087,1.79,0.0,0.0,Mostly Cloudy,33.27,dallas,2019-11-14 13:00:00,12896.0,NCEN,13,3,Thursday,11,November,2019,Fall,Afternoon,46,1,False
clear-night,0.0,36.49,0.0,279.8,10.0,0.68,192.0,rain,1029.1,3.75,36.49,2019-11-01 06:00:00,0.0087,2.66,0.0,0.0,Clear,26.82,dallas,2019-11-01 06:00:00,14848.0,NCEN,6,4,Friday,11,November,2019,Fall,Morning,44,1,False
partly-cloudy-day,0.0,103.45,0.32,287.3,10.0,0.49,128.0,rain,1014.8,5.65,94.47,2019-08-15 19:00:00,0.0087,5.65,9.0,0.0,Humid and Partly Cloudy,72.5,dallas,2019-08-15 19:00:00,23173.0,NCEN,19,3,Thursday,8,August,2019,Summer,Evening,33,1,False
clear-night,0.0,93.66,0.04,296.7,9.997,0.41,140.0,rain,1010.4,6.19,91.76,2018-08-28 02:00:00,0.0087,6.19,0.0,0.0,Clear,64.52,dallas,2018-08-28 02:00:00,6829.236384180791,NCEN,2,1,Tuesday,8,August,2018,Summer,Night,35,1,False
partly-cloudy-day,0.0015,75.57,0.75,284.5,10.0,0.55,65.0,rain,1012.7,22.37,75.57,2020-04-09 16:00:00,0.0087,9.56,4.0,0.01,Mostly Cloudy,58.3,dallas,2020-04-09 16:00:00,12044.0,NCEN,16,3,Thursday,4,April,2020,Spring,Afternoon,15,1,False
partly-cloudy-day,0.0,60.61,0.85,249.2,10.0,0.68,181.0,rain,1017.2,23.57,60.61,2019-03-07 18:00:00,0.0087,14.41,5.0,0.0,Mostly Cloudy,50.17,dallas,2019-03-07 18:00:00,9234.399322033898,NCEN,18,3,Thursday,3,March,2019,Spring,Evening,10,1,False
clear-day,0.0008,56.09,0.0,281.5,10.0,0.5,354.0,rain,1026.2,23.0,56.09,2020-01-18 21:00:00,0.0087,15.18,2.0,0.01,Clear,37.59,dallas,2020-01-18 21:00:00,12364.0,NCEN,21,5,Saturday,1,January,2020,Winter,Night,3,1,False
