icon,precipIntensity,apparentTemperature,cloudCover,ozone,visibility,humidity,windBearing,precipType,pressure,windGust,temperature,time,precipAccumulation,windSpeed,uvIndex,precipProbability,summary,dewPoint,city,local_time,demand,region,hour,day_of_week,day_name,month,month_name,year,season,time_of_day,week,anomaly_score,is_anomaly
partly-cloudy-night,0.0041,92.18,0.76,296.7,9.946,0.6,139.0,rain,1010.4,15.49,86.51,2018-09-04 01:00:00,0.0087,15.49,0.0,0.03,Mostly Cloudy,71.1,san antonio,2018-09-04 01:00:00,7126.32712168837,SCEN,1,1,Tuesday,9,September,2018,Fall,Night,36,1,False
cloudy,0.001,66.26,1.0,269.4,10.0,0.67,10.0,rain,1017.1,10.95,66.26,2018-09-27 12:00:00,0.0087,7.85,0.0,0.02,Overcast,54.88,san antonio,2018-09-27 12:00:00,8148.729846014493,SCEN,12,3,Thursday,9,September,2018,Fall,Afternoon,39,1,False
partly-cloudy-night,0.0015,73.17,0.8,267.5,10.0,0.95,150.0,rain,1010.9,18.99,71.84,2018-10-31 11:00:00,0.0087,1.72,0.0,0.03,Mostly Cloudy,70.24,san antonio,2018-10-31 11:00:00,8022.797788309636,SCEN,11,2,Wednesday,10,October,2018,Fall,Morning,44,1,False
cloudy,0.0004,58.48,0.92,322.2,10.0,0.96,44.0,rain,1019.2,7.46,58.44,2019-02-01 14:00:00,0.0087,4.63,0.0,0.05,Overcast,57.22,san antonio,2019-02-01 14:00:00,8445.957427536232,SCEN,14,4,Friday,2,February,2019,Winter,Afternoon,5,1,False
clear-day,0.0,90.59,0.0,278.1,10.0,0.56,352.0,rain,1014.9,8.78,86.47,2019-09-03 15:00:00,0.0087,8.04,4.0,0.0,Clear,69.0,san antonio,2019-09-03 15:00:00,11198.0,SCEN,15,1,Tuesday,9,September,2019,Fall,Afternoon,36,1,False
rain,0.0728,75.37,0.77,296.7,9.823,0.93,82.0,rain,1010.1,6.97,73.93,2018-09-09 09:00:00,0.0087,6.97,0.0,0.93,Rain,71.63,san antonio,2018-09-09 09:00:00,7759.096140825999,SCEN,9,6,Sunday,9,September,2018,Fall,Morning,36,-1,True
clear-night,0.0,49.51,0.15,269.0,10.0,0.49,129.0,rain,1024.1,3.27,49.51,2019-11-02 02:00:00,0.0087,0.49,0.0,0.0,Clear,31.36,san antonio,2019-11-02 02:00:00,5529.0,SCEN,2,5,Saturday,11,November,2019,Fall,Night,44,1,False
clear-night,0.0,57.29,0.07,265.1,10.0,0.63,171.0,rain,1012.4,9.65,57.29,2019-11-25 03:00:00,0.0087,3.57,0.0,0.0,Clear,44.93,san antonio,2019-11-25 03:00:00,4491.0,SCEN,3,0,Monday,11,November,2019,Fall,Night,48,1,False
clear-night,0.0,85.58,0.0,296.7,9.997,0.31,90.0,rain,1014.0,6.8,85.58,2018-08-02 04:00:00,0.0087,6.8,0.0,0.0,Clear,51.21,san antonio,2018-08-02 04:00:00,6550.273116824537,SCEN,4,3,Thursday,8,August,2018,Summer,Night,31,1,False
rain,0.0089,31.33,1.0,251.6,7.244,0.88,70.0,rain,1032.7,9.93,36.94,2019-02-09 18:00:00,0.0087,7.2,4.0,0.81,Drizzle,33.64,san antonio,2019-02-09 18:00:00,9234.399322033898,SCEN,18,5,Saturday,2,February,2019,Winter,Evening,6,-1,True
partly-cloudy-day,0.0008,76.65,0.72,289.1,10.0,0.73,119.0,rain,1010.7,16.15,75.93,2019-04-30 01:00:00,0.0087,10.86,0.0,0.01,Mostly Cloudy,66.6,san antonio,2019-04-30 01:00:00,7126.32712168837,SCEN,1,1,Tuesday,4,April,2019,Spring,Night,18,1,False
rain,0.0197,52.45,0.99,276.4,6.705,0.92,12.0,rain,1021.4,14.92,52.45,2020-03-22 01:00:00,0.0087,8.58,0.0,0.99,Light Rain,50.25,san antonio,2020-03-22 01:00:00,4998.0,SCEN,1,6,Sunday,3,March,2020,Spring,Night,12,-1,True
clear-night,0.0,84.98,0.07,278.1,10.0,0.57,130.0,rain,1017.4,13.11,82.74,2019-09-15 05:00:00,0.0087,6.73,0.0,0.0,Clear,66.17,san antonio,2019-09-15 05:00:00,5774.0,SCEN,5,6,Sunday,9,September,2019,Fall,Morning,37,1,False
partly-cloudy-day,0.0017,70.53,0.36,306.7,8.796,0.89,151.0,rain,1015.4,5.98,69.67,2019-05-14 14:00:00,0.0087,5.98,2.0,0.02,Partly Cloudy,66.36,san antonio,2019-05-14 14:00:00,8445.957427536232,SCEN,14,1,Tuesday,5,May,2019,Spring,Afternoon,20,1,False
cloudy,0.0004,59.52,0.99,286.6,6.962,0.9,16.0,rain,1013.5,15.33,59.52,2019-05-11 16:00:00,0.0087,8.07,4.0,0.02,Overcast,56.72,san antonio,2019-05-11 16:00:00,8780.507807196198,SCEN,16,5,Saturday,5,May,2019,Spring,Afternoon,19,1,False
cloudy,0.0013,40.69,1.0,262.5,5.405,0.88,28.0,rain,1016.9,21.75,46.58,2020-02-11 19:00:00,0.0087,13.44,4.0,0.12,Overcast,43.21,san antonio,2020-02-11 19:00:00,8342.0,SCEN,19,1,Tuesday,2,February,2020,Winter,Evening,7,-1,True
clear-night,0.0,86.38,0.04,279.1,10.0,0.8,92.0,rain,1014.5,7.51,80.99,2019-08-28 09:00:00,0.0087,5.14,0.0,0.0,Humid,74.19,san antonio,2019-08-28 09:00:00,7624.0,SCEN,9,2,Wednesday,8,August,2019,Summer,Morning,35,1,False
partly-cloudy-day,0.0012,88.26,0.74,290.8,10.0,0.77,164.0,rain,1016.1,7.13,82.07,2019-07-22 15:00:00,0.0087,4.54,3.0,0.01,Humid and Mostly Cloudy,74.24,san antonio,2019-07-22 15:00:00,11065.0,SCEN,15,0,Monday,7,July,2019,Summer,Afternoon,30,1,False
partly-cloudy-day,0.0005,78.36,0.4,271.0,10.0,0.7,183.0,rain,1019.6,18.86,77.62,2018-10-29 17:00:00,0.0087,13.1,5.0,0.05,Partly Cloudy,66.99,san antonio,2018-10-29 17:00:00,8990.480803974706,SCEN,17,0,Monday,10,October,2018,Fall,Evening,44,1,False
